时间,电功率,反应堆功率,气轮机功率,压缩机功率,反应堆入口温度,反应堆出口温度,气轮机出口温度,压缩机入口温度,压缩机出口温度,流量,转速
400.0,0.4015032052389227,1.60091984942926,1.3633148040062408,0.9502115299660708,906.8253023549377,1200.3062566868143,966.2212016116403,339.406877975027,500.8021048517788,11.199999986494634,59999.99992764983
400.1,0.4015024854552168,1.6009195980970685,1.363314834220364,0.950212279993348,906.8253751342091,1200.306283249364,966.221222993146,339.4071540167435,500.80251215737115,11.199999986501272,59999.99992768539
400.20000000000005,0.40150176602579707,1.6009193468889011,1.3633148644194688,0.9502130296515748,906.8254478775731,1200.3063097987094,966.2212443640227,339.40742992264813,500.8029192625701,11.199999986507908,59999.99992772094
400.3,0.40150104695196026,1.6009190958046975,1.3633148946035645,0.9502137789409333,906.8255205850467,1200.3063363348563,966.2212657242749,339.4077056928075,500.803326167474,11.199999986514545,59999.999927756486
400.40000000000003,0.40150032823063936,1.6009188448443956,1.3633149247726526,0.9502145278615717,906.8255932566484,1200.3063628578116,966.2212870739089,339.4079813272763,500.8037328721635,11.199999986521174,59999.99992779201
400.5,0.4014996098631315,1.6009185940079358,1.3633149549267463,0.9502152764137065,906.8256658923964,1200.3063893675826,966.2213084129301,339.4082568261346,500.80413937675667,11.199999986527802,59999.99992782751
400.6,0.40149889184927884,1.6009183432952567,1.3633149850658517,0.9502160245975125,906.8257384923074,1200.306415864175,966.221329741343,339.4085321894462,500.80454568134763,11.199999986534428,59999.999927863006
400.70000000000005,0.40149817418746897,1.600918092706295,1.3633150151899733,0.9502167724131597,906.8258110563999,1200.3064423475962,966.221351059154,339.40880741727375,500.8049517860291,11.199999986541048,59999.999927898476
400.8,0.4014974568804526,1.6009178422409895,1.3633150452991247,0.9502175198608455,906.8258835846914,1200.3064688178526,966.2213723663676,339.40908250968977,500.80535769090784,11.199999986547668,59999.99992793394
400.90000000000003,0.40149673992516255,1.6009175918992808,1.3633150753933079,0.9502182669407219,906.8259560772002,1200.306495274951,966.2213936629898,339.40935746675075,500.8057633960672,11.199999986554284,59999.99992796938
401.0,0.4014960233228943,1.6009173416811069,1.3633151054725332,0.9502190136530004,906.826028533944,1200.306521718898,966.2214149490259,339.40963228853366,500.80616890162105,11.199999986560897,59999.99992800481
401.1,0.401495307072032,1.6009170915864053,1.3633151355368067,0.9502197599978479,906.8261009549406,1200.3065481497003,966.2214362244812,339.40990697510074,500.8065742076608,11.199999986567505,59999.99992804021
401.20000000000005,0.4014945911753247,1.6009168416151147,1.3633151655861382,0.9502205059754655,906.8261733402065,1200.3065745673644,966.2214574893605,339.4101815265252,500.8069793142948,11.199999986574113,59999.99992807561
401.3,0.4014938756297035,1.600916591767175,1.3633151956205318,0.9502212515859958,906.8262456897606,1200.3066009718968,966.2214787436699,339.4104559428603,500.80738422160135,11.199999986580716,59999.999928110985
401.40000000000003,0.40149316043646444,1.600916342042524,1.3633152256399992,0.9502219968296636,906.8263180036198,1200.3066273633044,966.2214999874141,339.4107302241882,500.80778892970187,11.199999986587317,59999.999928146346
401.5,0.4014924455939915,1.6009160924411012,1.3633152556445445,0.9502227417066076,906.8263902818026,1200.306653741594,966.221521220599,339.4110043705604,500.8081934386721,11.199999986593914,59999.999928181685
401.6,0.40149173110503256,1.6009158429628423,1.3633152856341781,0.9502234862170507,906.8264625243261,1200.3066801067723,966.2215424432301,339.4112783820582,500.80859774863245,11.19999998660051,59999.99992821702
401.70000000000005,0.4014910169665172,1.600915593607687,1.3633153156089044,0.9502242303611237,906.8265347312091,1200.3067064588456,966.2215636553124,339.41155225873,500.80900185965413,11.1999999866071,59999.99992825233
401.8,0.40149030317828294,1.6009153443755748,1.3633153455687341,0.9502249741390495,906.8266069024688,1200.306732797821,966.2215848568515,339.41182600065827,500.8094057718587,11.199999986613689,59999.999928287616
401.90000000000003,0.4014895897445328,1.600915095266446,1.3633153755136742,0.9502257175510059,906.8266790381217,1200.3067591237043,966.2216060478515,339.4120996079079,500.809809485342,11.199999986620275,59999.999928322904
402.0,0.4014888766592877,1.6009148462802356,1.363315405443729,0.9502264605971344,906.8267511381871,1200.306785436503,966.2216272283199,339.4123730805314,500.8102130001814,11.199999986626857,59999.999928358164
402.1,0.4014881639252957,1.6009145974168848,1.3633154353589099,0.9502272032776554,906.8268232026824,1200.3068117362238,966.2216483982608,339.4126464186093,500.810616316496,11.199999986633435,59999.99992839341
402.20000000000005,0.40148745154239357,1.600914348676332,1.3633154652592234,0.9502279455927419,906.8268952316242,1200.3068380228724,966.2216695576791,339.41291962220595,500.81101943438046,11.199999986640012,59999.99992842864
402.3,0.4014867395104195,1.6009141000585179,1.363315495144676,0.9502286875425553,906.826967225031,1200.3068642964558,966.2216907065806,339.41319269137995,500.8114223539214,11.199999986646587,59999.999928463854
402.40000000000003,0.4014860278277558,1.6009138515633794,1.3633155250152755,0.9502294291272859,906.8270391829207,1200.3068905569812,966.2217118449713,339.41346562620186,500.81182507522294,11.199999986653156,59999.99992849905
402.5,0.4014853164956927,1.6009136031908564,1.3633155548710285,0.9502301703471213,906.8271111053106,1200.3069168044549,966.221732972856,339.4137384267406,500.8122275983867,11.199999986659721,59999.99992853423
402.6,0.4014846055140668,1.6009133549408883,1.3633155847119465,0.9502309112022458,906.8271829922172,1200.3069430388828,966.2217540902391,339.41401109306366,500.8126299235123,11.199999986666286,59999.99992856939
402.70000000000005,0.4014838948812599,1.6009131068134144,1.3633156145380319,0.95023165169281,906.8272548436594,1200.3069692602724,966.2217751971274,339.41428362522737,500.8130320506827,11.199999986672847,59999.999928604535
402.8,0.4014831846000184,1.6009128588083759,1.3633156443492958,0.9502323918190358,906.827326659654,1200.3069954686293,966.2217962935248,339.4145560233121,500.81343398001695,11.199999986679405,59999.99992863967
402.90000000000003,0.40148247466727033,1.6009126109257095,1.3633156741457435,0.9502331315810485,906.8273984402198,1200.307021663961,966.2218173794377,339.4148282873647,500.8138357115836,11.19999998668596,59999.999928674784
403.0,0.4014817650828518,1.6009123631653548,1.3633157039273835,0.950233870979077,906.8274701853737,1200.3070478462741,966.2218384548711,339.41510041746955,500.81423724550746,11.19999998669251,59999.999928709876
403.1,0.40148105584805116,1.600912115527249,1.3633157336942212,0.9502346100132831,906.8275418951328,1200.307074015575,966.2218595198307,339.41537241368576,500.8146385818757,11.199999986699057,59999.999928744954
403.20000000000005,0.40148034696270135,1.6009118680113334,1.3633157634462685,0.9502353486838455,906.8276135695145,1200.3071001718702,966.2218805743211,339.4156442760793,500.81503972078576,11.199999986705603,59999.99992878002
403.3,0.40147963842663736,1.6009116206175455,1.36331579318353,0.9502360869909315,906.8276852085373,1200.307126315166,966.2219016183475,339.4159160047116,500.8154406623281,11.199999986712145,59999.999928815065
403.40000000000003,0.40147893023823844,1.6009113733458256,1.363315822906014,0.9502368249347324,906.8277568122189,1200.3071524454695,966.2219226519159,339.4161875996531,500.8158414066067,11.199999986718684,59999.99992885009
403.5,0.4014782223987923,1.600911126196116,1.363315852613727,0.9502375625154265,906.8278283805765,1200.3071785627872,966.2219436750313,339.41645906096954,500.81624195371865,11.199999986725219,59999.9999288851
403.6,0.4014775149081329,1.6009108791683515,1.363315882306676,0.950238299733206,906.8278999136269,1200.3072046671252,966.2219646876989,339.4167303887313,500.8166423037678,11.19999998673175,59999.9999289201
403.70000000000005,0.40147680776464006,1.6009106322624755,1.363315911984871,0.9502390365882168,906.8279714113884,1200.3072307584905,966.2219856899239,339.41700158299244,500.8170424568338,11.19999998673828,59999.999928955076
403.8,0.4014761009681446,1.6009103854784243,1.3633159416483163,0.9502397730806702,906.8280428738782,1200.30725683689,966.2220066817125,339.41727264383024,500.8174424130308,11.199999986744805,59999.99992899003
403.90000000000003,0.40147539452138614,1.6009101388161373,1.3633159712970224,0.9502405092107334,906.8281143011135,1200.3072829023292,966.2220276630683,339.41754357130685,500.81784217245036,11.199999986751328,59999.999929024976
404.0,0.40147468842128675,1.6009098922755551,1.3633160009309946,0.9502412449785737,906.8281856931121,1200.3073089548157,966.2220486339978,339.41781436548325,500.81824173518265,11.199999986757847,59999.9999290599
404.1,0.4014739826676767,1.6009096458566159,1.3633160305502416,0.9502419803843691,906.8282570498925,1200.3073349943559,966.2220695945065,339.41808502642533,500.81864110132466,11.199999986764363,59999.9999290948
404.20000000000005,0.4014732772632957,1.60090939955926,1.3633160601547702,0.950242715428339,906.8283283714701,1200.3073610209553,966.2220905445982,339.41835555421346,500.8190402709953,11.199999986770877,59999.9999291297
404.3,0.40147257220506544,1.6009091533834272,1.3633160897445886,0.9502434501105966,906.8283996578641,1200.3073870346218,966.2221114842796,339.41862594888966,500.81943924425616,11.199999986777387,59999.99992916457
404.40000000000003,0.4014718674928166,1.600908907329058,1.3633161193197023,0.9502441844313703,906.8284709090916,1200.3074130353614,966.2221324135559,339.41889621053764,500.8198380212311,11.199999986783892,59999.999929199425
404.5,0.4014711631278324,1.6009086613960917,1.3633161488801209,0.9502449183908223,906.8285421251694,1200.3074390231807,966.2221533324316,339.4191663392173,500.82023660200826,11.199999986790395,59999.99992923426
404.6,0.40147045910994134,1.6009084155844677,1.3633161784258505,0.9502456519891351,906.8286133061148,1200.3074649980856,966.222174240912,339.4194363349957,500.8206349866868,11.199999986796895,59999.999929269085
404.70000000000005,0.4014697554375165,1.6009081698941263,1.363316207956899,0.9502463852264577,906.8286844519466,1200.3074909600837,966.2221951390029,339.4197061979276,500.8210331753474,11.199999986803391,59999.999929303885
404.8,0.4014690521118404,1.6009079243250068,1.3633162374732737,0.9502471181030145,906.8287555626815,1200.307516909181,966.2222160267098,339.4199759280957,500.82143116811216,11.199999986809884,59999.99992933867
404.90000000000003,0.4014683491312861,1.6009076788770482,1.363316266974983,0.950247850618946,906.8288266383369,1200.3075428453842,966.2222369040371,339.4202455255517,500.82182896505714,11.199999986816374,59999.999929373436
405.0,0.401467646495678,1.600907433550191,1.3633162964620318,0.9502485827744563,906.8288976789297,1200.3075687686996,966.222257770991,339.42051499037075,500.82222656629347,11.19999998682286,59999.99992940818
405.1,0.4014669442077502,1.6009071883443757,1.3633163259344305,0.9502493145697112,906.8289686844773,1200.3075946791337,966.2222786275754,339.4207843226135,500.8226239719107,11.199999986829344,59999.999929442914
405.20000000000005,0.40146624226441974,1.6009069432595395,1.363316355392184,0.9502500460048807,906.8290396549977,1200.307620576693,966.2222994737967,339.42105352234285,500.82302118200136,11.199999986835822,59999.99992947763
405.3,0.4014655406655122,1.600906698295625,1.3633163848353016,0.9502507770801403,906.8291105905087,1200.3076464613841,966.2223203096598,339.4213225896234,500.82341819666084,11.199999986842299,59999.99992951232
405.40000000000003,0.40146483941376326,1.6009064534525705,1.3633164142637906,0.9502515077957073,906.8291814910264,1200.3076723332138,966.2223411351698,339.4215915245345,500.8238150160065,11.199999986848773,59999.999929547004
405.5,0.4014641385060907,1.6009062087303163,1.3633164436776597,0.9502522381516932,906.8292523565691,1200.3076981921884,966.2223619503321,339.42186032711777,500.8242116400996,11.199999986855245,59999.99992958167
405.6,0.401463437942322,1.6009059641288037,1.3633164730769112,0.9502529681483277,906.8293231871543,1200.3077240383143,966.222382755152,339.4221289974578,500.82460806906465,11.19999998686171,59999.99992961631
405.70000000000005,0.40146273772373703,1.600905719647972,1.3633165024615546,0.9502536977857674,906.8293939827986,1200.307749871598,966.2224035496349,339.422397535612,500.8250043029867,11.199999986868173,59999.999929650934
405.8,0.4014620378487041,1.6009054752877618,1.3633165318316012,0.9502544270641902,906.8294647435198,1200.3077756920459,966.2224243337853,339.4226659416455,500.82540034196194,11.199999986874634,59999.99992968554
405.90000000000003,0.40146133831850056,1.6009052310481127,1.3633165611870546,0.950255155983774,906.8295354693352,1200.307801499665,966.2224451076092,339.4229342156243,500.8257961860875,11.19999998688109,59999.99992972013
